Date,Production,Sales,Producer
9/1/2021,618149,1250390,A-NORTH
8/1/2021,585045,1258927,A-NORTH
7/1/2021,608939,1323563,A-NORTH
6/1/2021,654180,1297643,A-NORTH
5/1/2021,546647,1389212,A-NORTH
4/1/2021,635347,1365891,A-NORTH
3/1/2021,770631,1573471,A-NORTH
2/1/2021,596297,1357346,A-NORTH
1/1/2021,551431,1200567,A-NORTH
12/1/2020,977841,1409241,A-SOUTH
11/1/2020,431400,1102800,A-SOUTH
10/1/2020,831728,1368021,A-SOUTH
9/1/2020,929024,1411494,A-SOUTH
8/1/2020,904200,1390700,A-SOUTH
7/1/2020,1318600,1424100,A-SOUTH
6/1/2020,1392200,1597400,A-SOUTH
5/1/2020,1034100,1240000,A-SOUTH
4/1/2020,377215,451312,A-SOUTH
3/1/2020,493281,526502,A-SOUTH
2/1/2020,1030200,1075100,A-SOUTH
1/1/2020,825000,850300,A-SOUTH
12/1/2019,1022300,1035310,A-SOUTH
11/1/2019,1096738,1084380,A-SOUTH
10/1/2019,921400,1256400,A-SOUTH
9/1/2019,962900,1019700,A-SOUTH
8/1/2019,1061926,1118480,A-SOUTH
7/1/2019,1004600,1150000,A-EAST
6/1/2019,1195100,1116600,A-EAST
5/1/2019,1008819,1214400,A-EAST
4/1/2019,746712,1146036,A-EAST
3/1/2019,1209200,1173500,A-EAST
2/1/2019,1117968,1118361,A-EAST
1/1/2019,995543,1068340,A-EAST
12/1/2018,964259,1002269,A-EAST
11/1/2018,863583,1117086,A-EAST
10/1/2018,1016296,1195465,A-EAST
9/1/2018,953045,1100899,A-EAST
8/1/2018,1088090,1261985,A-EAST
7/1/2018,1150026,1191604,A-EAST
6/1/2018,937434,1232813,A-NORTH
5/1/2018,1508900,1365700,A-NORTH
4/1/2018,1287048,1331006,A-NORTH
3/1/2018,1282745,1297111,A-NORTH
2/1/2018,1254909,1173608,A-NORTH
1/1/2018,927128,1034252,A-NORTH
12/1/2017,491905,883229,A-NORTH
11/1/2017,573524,679933,A-NORTH
10/1/2017,322098,491446,A-NORTH
9/1/2017,268958,298925,A-NORTH
8/1/2017,983949,1022499,A-NORTH
7/1/2017,966256,916563,A-NORTH
6/1/2017,1169168,1046029,A-NORTH
5/1/2017,826620,1071252,A-NORTH
4/1/2017,903626,930096,A-NORTH
3/1/2017,1096801,1068791,A-NORTH
2/1/2017,806473,1037563,A-NORTH
1/1/2017,744503,848675,A-NORTH
